id;z1;z2;z3;z4;z5
4;1;2;3;4;8
49;1;2;3;5;8
93;1;2;3;6;8
136;1;2;3;7;8
179;1;2;3;8;9
180;1;2;3;8;10
181;1;2;3;8;11
182;1;2;3;8;12
183;1;2;3;8;13
184;1;2;3;8;14
185;1;2;3;8;15
186;1;2;3;8;16
187;1;2;3;8;17
188;1;2;3;8;18
189;1;2;3;8;19
190;1;2;3;8;20
191;1;2;3;8;21
192;1;2;3;8;22
193;1;2;3;8;23
194;1;2;3;8;24
195;1;2;3;8;25
196;1;2;3;8;26
197;1;2;3;8;27
198;1;2;3;8;28
199;1;2;3;8;29
200;1;2;3;8;30
201;1;2;3;8;31
202;1;2;3;8;32
203;1;2;3;8;33
204;1;2;3;8;34
205;1;2;3;8;35
206;1;2;3;8;36
207;1;2;3;8;37
208;1;2;3;8;38
209;1;2;3;8;39
210;1;2;3;8;40
211;1;2;3;8;41
212;1;2;3;8;42
213;1;2;3;8;43
214;1;2;3;8;44
215;1;2;3;8;45
216;1;2;3;8;46
217;1;2;3;8;47
218;1;2;3;8;48
219;1;2;3;8;49
220;1;2;3;8;50
17299;1;3;4;5;8
17343;1;3;4;6;8
17386;1;3;4;7;8
17429;1;3;4;8;9
17430;1;3;4;8;10
17431;1;3;4;8;11
17432;1;3;4;8;12
17433;1;3;4;8;13
17434;1;3;4;8;14
17435;1;3;4;8;15
17436;1;3;4;8;16
17437;1;3;4;8;17
17438;1;3;4;8;18
17439;1;3;4;8;19
17440;1;3;4;8;20
17441;1;3;4;8;21
17442;1;3;4;8;22
17443;1;3;4;8;23
17444;1;3;4;8;24
17445;1;3;4;8;25
17446;1;3;4;8;26
17447;1;3;4;8;27
17448;1;3;4;8;28
17449;1;3;4;8;29
17450;1;3;4;8;30
17451;1;3;4;8;31
17452;1;3;4;8;32
17453;1;3;4;8;33
17454;1;3;4;8;34
17455;1;3;4;8;35
17456;1;3;4;8;36
17457;1;3;4;8;37
17458;1;3;4;8;38
17459;1;3;4;8;39
17460;1;3;4;8;40
17461;1;3;4;8;41
17462;1;3;4;8;42
17463;1;3;4;8;43
17464;1;3;4;8;44
17465;1;3;4;8;45
17466;1;3;4;8;46
17467;1;3;4;8;47
17468;1;3;4;8;48
17469;1;3;4;8;49
17470;1;3;4;8;50
18333;1;3;5;6;8
18376;1;3;5;7;8
18419;1;3;5;8;9
18420;1;3;5;8;10
18421;1;3;5;8;11
18422;1;3;5;8;12
18423;1;3;5;8;13
18424;1;3;5;8;14
18425;1;3;5;8;15
18426;1;3;5;8;16
18427;1;3;5;8;17
18428;1;3;5;8;18
18429;1;3;5;8;19
18430;1;3;5;8;20
18431;1;3;5;8;21
18432;1;3;5;8;22
18433;1;3;5;8;23
18434;1;3;5;8;24
18435;1;3;5;8;25
18436;1;3;5;8;26
18437;1;3;5;8;27
18438;1;3;5;8;28
18439;1;3;5;8;29
18440;1;3;5;8;30
18441;1;3;5;8;31
18442;1;3;5;8;32
18443;1;3;5;8;33
18444;1;3;5;8;34
18445;1;3;5;8;35
18446;1;3;5;8;36
18447;1;3;5;8;37
18448;1;3;5;8;38
18449;1;3;5;8;39
18450;1;3;5;8;40
18451;1;3;5;8;41
18452;1;3;5;8;42
18453;1;3;5;8;43
18454;1;3;5;8;44
18455;1;3;5;8;45
18456;1;3;5;8;46
18457;1;3;5;8;47
18458;1;3;5;8;48
18459;1;3;5;8;49
18460;1;3;5;8;50
19322;1;3;6;7;8
19365;1;3;6;8;9
19366;1;3;6;8;10
19367;1;3;6;8;11
19368;1;3;6;8;12
19369;1;3;6;8;13
19370;1;3;6;8;14
19371;1;3;6;8;15
19372;1;3;6;8;16
19373;1;3;6;8;17
19374;1;3;6;8;18
19375;1;3;6;8;19
19376;1;3;6;8;20
19377;1;3;6;8;21
19378;1;3;6;8;22
19379;1;3;6;8;23
19380;1;3;6;8;24
19381;1;3;6;8;25
19382;1;3;6;8;26
19383;1;3;6;8;27
19384;1;3;6;8;28
19385;1;3;6;8;29
19386;1;3;6;8;30
19387;1;3;6;8;31
19388;1;3;6;8;32
19389;1;3;6;8;33
19390;1;3;6;8;34
19391;1;3;6;8;35
19392;1;3;6;8;36
19393;1;3;6;8;37
19394;1;3;6;8;38
19395;1;3;6;8;39
19396;1;3;6;8;40
19397;1;3;6;8;41
19398;1;3;6;8;42
19399;1;3;6;8;43
19400;1;3;6;8;44
19401;1;3;6;8;45
19402;1;3;6;8;46
19403;1;3;6;8;47
19404;1;3;6;8;48
19405;1;3;6;8;49
19406;1;3;6;8;50
20268;1;3;7;8;9
20269;1;3;7;8;10
20270;1;3;7;8;11
20271;1;3;7;8;12
20272;1;3;7;8;13
20273;1;3;7;8;14
20274;1;3;7;8;15
20275;1;3;7;8;16
20276;1;3;7;8;17
20277;1;3;7;8;18
20278;1;3;7;8;19
20279;1;3;7;8;20
20280;1;3;7;8;21
20281;1;3;7;8;22
20282;1;3;7;8;23
20283;1;3;7;8;24
20284;1;3;7;8;25
20285;1;3;7;8;26
20286;1;3;7;8;27
20287;1;3;7;8;28
20288;1;3;7;8;29
20289;1;3;7;8;30
20290;1;3;7;8;31
20291;1;3;7;8;32
20292;1;3;7;8;33
20293;1;3;7;8;34
20294;1;3;7;8;35
20295;1;3;7;8;36
20296;1;3;7;8;37
20297;1;3;7;8;38
20298;1;3;7;8;39
20299;1;3;7;8;40
20300;1;3;7;8;41
20301;1;3;7;8;42
20302;1;3;7;8;43
20303;1;3;7;8;44
20304;1;3;7;8;45
20305;1;3;7;8;46
20306;1;3;7;8;47
20307;1;3;7;8;48
20308;1;3;7;8;49
20309;1;3;7;8;50
21171;1;3;8;9;10
21172;1;3;8;9;11
21173;1;3;8;9;12
21174;1;3;8;9;13
21175;1;3;8;9;14
21176;1;3;8;9;15
21177;1;3;8;9;16
21178;1;3;8;9;17
21179;1;3;8;9;18
21180;1;3;8;9;19
21181;1;3;8;9;20
21182;1;3;8;9;21
21183;1;3;8;9;22
21184;1;3;8;9;23
21185;1;3;8;9;24
21186;1;3;8;9;25
21187;1;3;8;9;26
21188;1;3;8;9;27
21189;1;3;8;9;28
21190;1;3;8;9;29
21191;1;3;8;9;30
21192;1;3;8;9;31
21193;1;3;8;9;32
21194;1;3;8;9;33
21195;1;3;8;9;34
21196;1;3;8;9;35
21197;1;3;8;9;36
21198;1;3;8;9;37
21199;1;3;8;9;38
21200;1;3;8;9;39
21201;1;3;8;9;40
21202;1;3;8;9;41
21203;1;3;8;9;42
21204;1;3;8;9;43
21205;1;3;8;9;44
21206;1;3;8;9;45
21207;1;3;8;9;46
21208;1;3;8;9;47
21209;1;3;8;9;48
21210;1;3;8;9;49
21211;1;3;8;9;50
21212;1;3;8;10;11
21213;1;3;8;10;12
21214;1;3;8;10;13
21215;1;3;8;10;14
21216;1;3;8;10;15
21217;1;3;8;10;16
21218;1;3;8;10;17
21219;1;3;8;10;18
21220;1;3;8;10;19
21221;1;3;8;10;20
21222;1;3;8;10;21
21223;1;3;8;10;22
21224;1;3;8;10;23
21225;1;3;8;10;24
21226;1;3;8;10;25
21227;1;3;8;10;26
21228;1;3;8;10;27
21229;1;3;8;10;28
21230;1;3;8;10;29
21231;1;3;8;10;30
21232;1;3;8;10;31
21233;1;3;8;10;32
21234;1;3;8;10;33
21235;1;3;8;10;34
21236;1;3;8;10;35
21237;1;3;8;10;36
21238;1;3;8;10;37
21239;1;3;8;10;38
21240;1;3;8;10;39
21241;1;3;8;10;40
21242;1;3;8;10;41
21243;1;3;8;10;42
21244;1;3;8;10;43
21245;1;3;8;10;44
21246;1;3;8;10;45
21247;1;3;8;10;46
21248;1;3;8;10;47
21249;1;3;8;10;48
21250;1;3;8;10;49
21251;1;3;8;10;50
21252;1;3;8;11;12
21253;1;3;8;11;13
21254;1;3;8;11;14
21255;1;3;8;11;15
21256;1;3;8;11;16
21257;1;3;8;11;17
21258;1;3;8;11;18
21259;1;3;8;11;19
21260;1;3;8;11;20
21261;1;3;8;11;21
21262;1;3;8;11;22
21263;1;3;8;11;23
21264;1;3;8;11;24
21265;1;3;8;11;25
21266;1;3;8;11;26
21267;1;3;8;11;27
21268;1;3;8;11;28
21269;1;3;8;11;29
21270;1;3;8;11;30
21271;1;3;8;11;31
21272;1;3;8;11;32
21273;1;3;8;11;33
21274;1;3;8;11;34
21275;1;3;8;11;35
21276;1;3;8;11;36
21277;1;3;8;11;37
21278;1;3;8;11;38
21279;1;3;8;11;39
21280;1;3;8;11;40
21281;1;3;8;11;41
21282;1;3;8;11;42
21283;1;3;8;11;43
21284;1;3;8;11;44
21285;1;3;8;11;45
21286;1;3;8;11;46
21287;1;3;8;11;47
21288;1;3;8;11;48
21289;1;3;8;11;49
21290;1;3;8;11;50
21291;1;3;8;12;13
21292;1;3;8;12;14
21293;1;3;8;12;15
21294;1;3;8;12;16
21295;1;3;8;12;17
21296;1;3;8;12;18
21297;1;3;8;12;19
21298;1;3;8;12;20
21299;1;3;8;12;21
21300;1;3;8;12;22
21301;1;3;8;12;23
21302;1;3;8;12;24
21303;1;3;8;12;25
21304;1;3;8;12;26
21305;1;3;8;12;27
21306;1;3;8;12;28
21307;1;3;8;12;29
21308;1;3;8;12;30
21309;1;3;8;12;31
21310;1;3;8;12;32
21311;1;3;8;12;33
21312;1;3;8;12;34
21313;1;3;8;12;35
21314;1;3;8;12;36
21315;1;3;8;12;37
21316;1;3;8;12;38
21317;1;3;8;12;39
21318;1;3;8;12;40
21319;1;3;8;12;41
21320;1;3;8;12;42
21321;1;3;8;12;43
21322;1;3;8;12;44
21323;1;3;8;12;45
21324;1;3;8;12;46
21325;1;3;8;12;47
21326;1;3;8;12;48
21327;1;3;8;12;49
21328;1;3;8;12;50
21329;1;3;8;13;14
21330;1;3;8;13;15
21331;1;3;8;13;16
21332;1;3;8;13;17
21333;1;3;8;13;18
21334;1;3;8;13;19
21335;1;3;8;13;20
21336;1;3;8;13;21
21337;1;3;8;13;22
21338;1;3;8;13;23
21339;1;3;8;13;24
21340;1;3;8;13;25
21341;1;3;8;13;26
21342;1;3;8;13;27
21343;1;3;8;13;28
21344;1;3;8;13;29
21345;1;3;8;13;30
21346;1;3;8;13;31
21347;1;3;8;13;32
21348;1;3;8;13;33
21349;1;3;8;13;34
21350;1;3;8;13;35
21351;1;3;8;13;36
21352;1;3;8;13;37
21353;1;3;8;13;38
21354;1;3;8;13;39
21355;1;3;8;13;40
21356;1;3;8;13;41
21357;1;3;8;13;42
21358;1;3;8;13;43
21359;1;3;8;13;44
21360;1;3;8;13;45
21361;1;3;8;13;46
21362;1;3;8;13;47
21363;1;3;8;13;48
21364;1;3;8;13;49
21365;1;3;8;13;50
21366;1;3;8;14;15
21367;1;3;8;14;16
21368;1;3;8;14;17
21369;1;3;8;14;18
21370;1;3;8;14;19
21371;1;3;8;14;20
21372;1;3;8;14;21
21373;1;3;8;14;22
21374;1;3;8;14;23
21375;1;3;8;14;24
21376;1;3;8;14;25
21377;1;3;8;14;26
21378;1;3;8;14;27
21379;1;3;8;14;28
21380;1;3;8;14;29
21381;1;3;8;14;30
21382;1;3;8;14;31
21383;1;3;8;14;32
21384;1;3;8;14;33
21385;1;3;8;14;34
21386;1;3;8;14;35
21387;1;3;8;14;36
21388;1;3;8;14;37
21389;1;3;8;14;38
21390;1;3;8;14;39
21391;1;3;8;14;40
21392;1;3;8;14;41
21393;1;3;8;14;42
21394;1;3;8;14;43
21395;1;3;8;14;44
21396;1;3;8;14;45
21397;1;3;8;14;46
